seed,alpha,task,round,client,old_gradient_norm,new_gradient_norm,magnitude_ratio,balance_score,retention_weight
42,1.0,4,3,3,4.239951721287104,13.871385712533357,0.30566172761354554,0.7658951617029489,1.2658951617029488
42,1.0,4,3,4,4.351179610418534,10.039857163129767,0.4333905891009398,0.6976465504961398,1.1976465504961398
42,1.0,5,1,0,4.594330886461326,50.433919799048574,0.09109605013386061,0.9165095959033996,1.4165095959033995
42,1.0,5,1,1,4.260144869002001,51.31238228090933,0.08302372019447042,0.9233408108738541,1.4233408108738541
42,1.0,5,1,2,4.341449757993475,51.25266563472961,0.08470680898695648,0.9219081061488988,1.4219081061488987
42,1.0,5,1,3,5.028551861478269,50.40002416615342,0.09977280655462736,0.9092787110574084,1.4092787110574085
42,1.0,5,1,4,4.516068323670292,51.00793975905349,0.08853657577629644,0.9186645834907516,1.4186645834907516
42,1.0,5,2,0,1.2920439869076068,8.811687402426793,0.14662844105790943,0.8721220965679697,1.3721220965679697
42,1.0,5,2,1,1.2488934473124595,8.824826545098114,0.14152045266045882,0.8760246018100326,1.3760246018100326
42,1.0,5,2,2,1.3620076782063788,9.710248537551166,0.14026496571525698,0.876989147318601,1.376989147318601
42,1.0,5,2,3,1.3631581181511547,8.923869072996968,0.15275415932264486,0.8674876528638901,1.3674876528638902
42,1.0,5,2,4,1.3100279059069966,8.920657284405,0.14685329389315593,0.8719511077177502,1.3719511077177502
42,1.0,5,3,0,2.5288747225296655,8.35342289621413,0.30273514868683093,0.7676157360211625,1.2676157360211624
42,1.0,5,3,1,2.3902746991667905,8.817987920429841,0.271068039640726,0.7867399453160209,1.2867399453160209
42,1.0,5,3,2,2.2851381797361348,10.504567905797364,0.2175375703435429,0.8213298910502964,1.3213298910502964
42,1.0,5,3,3,2.640013426259506,8.74409050700242,0.3019197278602086,0.7680965105609483,1.2680965105609483
42,1.0,5,3,4,2.4799169801538086,8.823322255669018,0.2810638564810632,0.7806012127660623,1.2806012127660624
